,mpg,cylinders,displacement,horsepower,weight,acceleration,year,originL
0,18.0,8,307.0,130,3504,12.0,70,0
1,15.0,8,350.0,165,3693,11.5,70,0
2,18.0,8,318.0,150,3436,11.0,70,0
3,16.0,8,304.0,150,3433,12.0,70,0
4,17.0,8,302.0,140,3449,10.5,70,0
5,15.0,8,429.0,198,4341,10.0,70,0
6,14.0,8,454.0,220,4354,9.0,70,0
7,14.0,8,440.0,215,4312,8.5,70,0
8,14.0,8,455.0,225,4425,10.0,70,0
9,15.0,8,390.0,190,3850,8.5,70,0
10,15.0,8,383.0,170,3563,10.0,70,0
11,14.0,8,340.0,160,3609,8.0,70,0
12,15.0,8,400.0,150,3761,9.5,70,0
13,14.0,8,455.0,225,3086,10.0,70,0
14,24.0,4,113.0,95,2372,15.0,70,2
15,22.0,6,198.0,95,2833,15.5,70,0
16,18.0,6,199.0,97,2774,15.5,70,0
17,21.0,6,200.0,85,2587,16.0,70,0
18,27.0,4,97.0,88,2130,14.5,70,2
19,26.0,4,97.0,46,1835,20.5,70,1
20,25.0,4,110.0,87,2672,17.5,70,1
21,24.0,4,107.0,90,2430,14.5,70,1
22,25.0,4,104.0,95,2375,17.5,70,1
23,26.0,4,121.0,113,2234,12.5,70,1
24,21.0,6,199.0,90,2648,15.0,70,0
25,10.0,8,360.0,215,4615,14.0,70,0
26,10.0,8,307.0,200,4376,15.0,70,0
27,11.0,8,318.0,210,4382,13.5,70,0
28,9.0,8,304.0,193,4732,18.5,70,0
29,27.0,4,97.0,88,2130,14.5,71,2
30,28.0,4,140.0,90,2264,15.5,71,0
31,25.0,4,113.0,95,2228,14.0,71,2
32,25.0,4,98.0,95,2046,19.0,71,0
33,19.0,6,232.0,100,2634,13.0,71,0
34,16.0,6,225.0,105,3439,15.5,71,0
35,17.0,6,250.0,100,3329,15.5,71,0
36,19.0,6,250.0,88,3302,15.5,71,0
37,18.0,6,232.0,100,3288,15.5,71,0
38,14.0,8,350.0,165,4209,12.0,71,0
39,14.0,8,400.0,175,4464,11.5,71,0
40,14.0,8,351.0,153,4154,13.5,71,0
41,14.0,8,318.0,150,4096,13.0,71,0
42,12.0,8,383.0,180,4955,11.5,71,0
43,13.0,8,400.0,170,4746,12.0,71,0
44,13.0,8,400.0,175,5140,12.0,71,0
45,18.0,6,258.0,110,2962,13.5,71,0
46,22.0,4,140.0,72,2408,19.0,71,0
47,19.0,6,250.0,100,3282,15.0,71,0
48,18.0,6,250.0,88,3139,14.5,71,0
49,23.0,4,122.0,86,2220,14.0,71,0
50,28.0,4,116.0,90,2123,14.0,71,1
51,30.0,4,79.0,70,2074,19.5,71,1
52,30.0,4,88.0,76,2065,14.5,71,1
53,31.0,4,71.0,65,1773,19.0,71,2
54,35.0,4,72.0,69,1613,18.0,71,2
55,27.0,4,97.0,60,1834,19.0,71,1
56,26.0,4,91.0,70,1955,20.5,71,0
